"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"624","642","Gin","","Beverages","Distilled beverages"
"625","643","Honey","","Confectioneries","Other confectioneries"
"626","644","Liquorice","","Confectioneries","Candies"
"627","645","Vinegar","","Baking goods","Seasonings"
"628","646","Rum","","Beverages","Distilled beverages"
"629","647","Port wine","","Beverages","Fortified wines"
"630","648","Vermouth","","Beverages","Fortified wines"
"631","649","Sherry","","Beverages","Fortified wines"
"632","650","Madeira wine","","Beverages","Fortified wines"
"633","651","Nougat","","Confectioneries","Other confectioneries"
"634","653","Toffee","","Confectioneries","Other confectioneries"
"635","654","Cake","","Confectioneries","Desserts"
"636","655","Pizza","","Dishes","Other dishes"
"637","656","Ymer","","Milk and milk products","Fermented milk products"
"638","657","Other snack food","","Snack foods","Snack foods"
"639","659","Crisp bread","","Cereals and cereal products","Flat breads"
"640","660","Pastry","","Confectioneries","Desserts"
"641","661","Dragée","","Confectioneries","Candies"
"642","662","Chewing gum","","Confectioneries","Candies"
"643","663","Marzipan","","Confectioneries","Other confectioneries"
"644","664","Salad dressing","","Baking goods","Dressings"
"645","665","Sauce","","Baking goods","Sauces"
"646","666","Salt","","Baking goods","Seasonings"
"647","667","Butter","","Milk and milk products","Other milk products"
"648","668","Butter substitute","","Baking goods","Substitutes"
"649","669","Cream","","Milk and milk products","Other milk products"
"650","670","Sugar","","Baking goods","Sugars"
"651","671","Sausage","","Dishes","Ground meat"
"652","672","Meatball","","Dishes","Ground meat"
"653","673","Mustard","","Baking goods","Condiments"
"654","674","Pate","","Dishes","Ground meat"
"655","676","Sugar substitute","","Baking goods","Substitutes"
"656","677","Meat bouillon","","Baking goods","Baking goods"
"657","679","Whey","","Milk and milk products","Other milk products"
"658","680","Casein","","Milk and milk products","Other milk products"
"659","681","Fruit preserve","","Fruits","Fruit products"
"660","682","Leavening agent","","Baking goods","Baking goods"
"661","683","Marshmallow","","Confectioneries","Candies"
"662","684","Gelatin","","Baking goods","Baking goods"
"663","685","Water","","Beverages","Waters"
"664","686","Other fish product","","Aquatic foods","Fish products"
"665","687","Milk (Human)","","Milk and milk products","Unfermented milks"
"666","689","Other beverage","","Beverages","Other beverages"
"667","690","Baby food","","Baby foods","Baby foods"
"668","691","Dumpling","","Dishes","Other dishes"
"669","692","Soup","","Dishes","Other dishes"
"670","693","Other vegetable product","","Vegetables","Vegetable products"
