Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Brazil,BRA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.465,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.828,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.425,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.237,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.152,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.808,..,..,..,..
British Virgin Islands,VGB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.785,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.123,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.894,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.405,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.098,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.674,..,..,..,..
Brunei Darussalam,BRN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.932,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.963,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.959,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.478,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.101,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.504,..,..,..,..
Bulgaria,BGR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.774,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.145,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.354,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.127,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.19,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.439,..,..,..,..
Burkina Faso,BFA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.917,..,..,..,..
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.112,..,..,..,..
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.447,..,..,..,..
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.174,..,..,..,..
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.107,..,..,..,..
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.615,..,..,..,..
